head	relation	tail	head_cui	tail_cui	source
Entity536	precedes	Entity118	C1005362	C1005363	synthetic
Entity536	inhibits	Entity6121	C1005364	C1005365	synthetic
Entity536	precedes	Entity6745	C1005366	C1005367	synthetic
Entity536	located_in	Entity7161	C1005368	C1005369	synthetic
Entity537	mutated_in	Entity4094	C1005370	C1005371	synthetic
Entity537	located_in	Entity6385	C1005372	C1005373	synthetic
Entity537	binds_to	Entity3614	C1005374	C1005375	synthetic
Entity537	derived_from	Entity1297	C1005376	C1005377	synthetic
Entity537	correlated_with	Entity3924	C1005378	C1005379	synthetic
Entity538	regulates	Entity4454	C1005380	C1005381	synthetic
Entity538	binds_to	Entity8715	C1005382	C1005383	synthetic
Entity538	inhibits	Entity6765	C1005384	C1005385	synthetic
Entity538	mutated_in	Entity1121	C1005386	C1005387	synthetic
Entity538	regulates	Entity2238	C1005388	C1005389	synthetic
Entity539	similar_to	Entity1808	C1005390	C1005391	synthetic
Entity539	binds_to	Entity7418	C1005392	C1005393	synthetic
Entity539	inhibits	Entity8060	C1005394	C1005395	synthetic
Entity539	associated_with	Entity5253	C1005396	C1005397	synthetic
Entity539	causes	Entity2492	C1005398	C1005399	synthetic
Entity540	associated_with	Entity8764	C1005400	C1005401	synthetic
Entity540	interacts_with	Entity3046	C1005402	C1005403	synthetic
Entity540	binds_to	Entity4622	C1005404	C1005405	synthetic
Entity540	similar_to	Entity2048	C1005406	C1005407	synthetic
Entity540	activates	Entity134	C1005408	C1005409	synthetic
Entity541	expressed_in	Entity1477	C1005410	C1005411	synthetic
Entity541	co_occurs_with	Entity241	C1005412	C1005413	synthetic
Entity541	belongs_to_pathway	Entity3558	C1005414	C1005415	synthetic
Entity541	regulates	Entity6885	C1005416	C1005417	synthetic
Entity541	has_phenotype	Entity8165	C1005418	C1005419	synthetic
Entity542	causes	Entity7597	C1005420	C1005421	synthetic
Entity542	treats	Entity5410	C1005422	C1005423	synthetic
Entity542	causes	Entity2393	C1005424	C1005425	synthetic
Entity542	located_in	Entity4366	C1005426	C1005427	synthetic
Entity542	precedes	Entity1169	C1005428	C1005429	synthetic
Entity543	mutated_in	Entity7702	C1005430	C1005431	synthetic
Entity543	binds_to	Entity3148	C1005432	C1005433	synthetic
Entity543	associated_with	Entity6251	C1005434	C1005435	synthetic
Entity543	activates	Entity1998	C1005436	C1005437	synthetic
Entity543	similar_to	Entity6304	C1005438	C1005439	synthetic
Entity544	causes	Entity4049	C1005440	C1005441	synthetic
Entity544	similar_to	Entity3263	C1005442	C1005443	synthetic
Entity544	correlated_with	Entity1539	C1005444	C1005445	synthetic
Entity544	co_occurs_with	Entity3415	C1005446	C1005447	synthetic
Entity544	regulates	Entity6375	C1005448	C1005449	synthetic
Entity545	mutated_in	Entity5293	C1005450	C1005451	synthetic
Entity545	precedes	Entity691	C1005452	C1005453	synthetic
Entity545	interacts_with	Entity8534	C1005454	C1005455	synthetic
Entity545	co_occurs_with	Entity4150	C1005456	C1005457	synthetic
Entity545	inhibits	Entity4895	C1005458	C1005459	synthetic
Entity546	causes	Entity5905	C1005460	C1005461	synthetic
Entity546	interacts_with	Entity3568	C1005462	C1005463	synthetic
Entity546	derived_from	Entity3866	C1005464	C1005465	synthetic
Entity546	associated_with	Entity5316	C1005466	C1005467	synthetic
Entity546	binds_to	Entity2742	C1005468	C1005469	synthetic
Entity547	interacts_with	Entity9579	C1005470	C1005471	synthetic
Entity547	activates	Entity6484	C1005472	C1005473	synthetic
Entity547	causes	Entity146	C1005474	C1005475	synthetic
Entity547	co_occurs_with	Entity9520	C1005476	C1005477	synthetic
Entity547	expressed_in	Entity9768	C1005478	C1005479	synthetic
Entity548	treats	Entity6084	C1005480	C1005481	synthetic
Entity548	mutated_in	Entity4075	C1005482	C1005483	synthetic
Entity548	treats	Entity8190	C1005484	C1005485	synthetic
Entity548	causes	Entity5544	C1005486	C1005487	synthetic
Entity548	has_phenotype	Entity979	C1005488	C1005489	synthetic
Entity549	precedes	Entity2521	C1005490	C1005491	synthetic
Entity549	expressed_in	Entity1759	C1005492	C1005493	synthetic
Entity549	activates	Entity7992	C1005494	C1005495	synthetic
Entity549	precedes	Entity5189	C1005496	C1005497	synthetic
Entity549	similar_to	Entity5690	C1005498	C1005499	synthetic
Entity550	associated_with	Entity3161	C1005500	C1005501	synthetic
Entity550	has_phenotype	Entity6189	C1005502	C1005503	synthetic
Entity550	binds_to	Entity2207	C1005504	C1005505	synthetic
Entity550	co_occurs_with	Entity646	C1005506	C1005507	synthetic
Entity550	precedes	Entity7168	C1005508	C1005509	synthetic
Entity551	precedes	Entity4828	C1005510	C1005511	synthetic
Entity551	inhibits	Entity8029	C1005512	C1005513	synthetic
Entity551	mutated_in	Entity9284	C1005514	C1005515	synthetic
Entity551	has_phenotype	Entity8906	C1005516	C1005517	synthetic
Entity551	similar_to	Entity5303	C1005518	C1005519	synthetic
Entity552	part_of	Entity4510	C1005520	C1005521	synthetic
Entity552	mutated_in	Entity9085	C1005522	C1005523	synthetic
Entity552	correlated_with	Entity1128	C1005524	C1005525	synthetic
Entity552	similar_to	Entity2539	C1005526	C1005527	synthetic
Entity552	binds_to	Entity4844	C1005528	C1005529	synthetic
Entity553	has_phenotype	Entity8873	C1005530	C1005531	synthetic
Entity553	associated_with	Entity7439	C1005532	C1005533	synthetic
Entity553	located_in	Entity8289	C1005534	C1005535	synthetic
Entity553	associated_with	Entity3039	C1005536	C1005537	synthetic
Entity553	part_of	Entity5965	C1005538	C1005539	synthetic
Entity554	belongs_to_pathway	Entity3912	C1005540	C1005541	synthetic
Entity554	precedes	Entity1037	C1005542	C1005543	synthetic
Entity554	inhibits	Entity6348	C1005544	C1005545	synthetic
Entity554	co_occurs_with	Entity8586	C1005546	C1005547	synthetic
Entity554	expressed_in	Entity9035	C1005548	C1005549	synthetic
Entity555	belongs_to_pathway	Entity4638	C1005550	C1005551	synthetic
Entity555	belongs_to_pathway	Entity6714	C1005552	C1005553	synthetic
Entity555	interacts_with	Entity1809	C1005554	C1005555	synthetic
Entity555	treats	Entity8572	C1005556	C1005557	synthetic
Entity555	expressed_in	Entity717	C1005558	C1005559	synthetic
Entity556	causes	Entity2926	C1005560	C1005561	synthetic
Entity556	interacts_with	Entity3310	C1005562	C1005563	synthetic
Entity556	inhibits	Entity7952	C1005564	C1005565	synthetic
Entity556	causes	Entity1617	C1005566	C1005567	synthetic
Entity556	located_in	Entity9355	C1005568	C1005569	synthetic
Entity557	correlated_with	Entity8026	C1005570	C1005571	synthetic
Entity557	binds_to	Entity9671	C1005572	C1005573	synthetic
Entity557	has_phenotype	Entity804	C1005574	C1005575	synthetic
Entity557	part_of	Entity3616	C1005576	C1005577	synthetic
Entity557	associated_with	Entity1161	C1005578	C1005579	synthetic
Entity558	co_occurs_with	Entity3419	C1005580	C1005581	synthetic
Entity558	similar_to	Entity1310	C1005582	C1005583	synthetic
Entity558	has_phenotype	Entity994	C1005584	C1005585	synthetic
Entity558	derived_from	Entity9142	C1005586	C1005587	synthetic
Entity558	causes	Entity6046	C1005588	C1005589	synthetic
Entity559	correlated_with	Entity4355	C1005590	C1005591	synthetic
Entity559	treats	Entity666	C1005592	C1005593	synthetic
Entity559	treats	Entity4979	C1005594	C1005595	synthetic
Entity559	correlated_with	Entity3537	C1005596	C1005597	synthetic
Entity559	interacts_with	Entity1591	C1005598	C1005599	synthetic
Entity560	precedes	Entity3784	C1005600	C1005601	synthetic
Entity560	inhibits	Entity6313	C1005602	C1005603	synthetic
Entity560	correlated_with	Entity3164	C1005604	C1005605	synthetic
Entity560	follows	Entity4075	C1005606	C1005607	synthetic
Entity560	precedes	Entity2931	C1005608	C1005609	synthetic
Entity561	derived_from	Entity9144	C1005610	C1005611	synthetic
Entity561	follows	Entity1728	C1005612	C1005613	synthetic
Entity561	similar_to	Entity5864	C1005614	C1005615	synthetic
Entity561	interacts_with	Entity6997	C1005616	C1005617	synthetic
Entity561	mutated_in	Entity2733	C1005618	C1005619	synthetic
Entity562	located_in	Entity9010	C1005620	C1005621	synthetic
Entity562	belongs_to_pathway	Entity8268	C1005622	C1005623	synthetic
Entity562	precedes	Entity2591	C1005624	C1005625	synthetic
Entity562	similar_to	Entity9829	C1005626	C1005627	synthetic
Entity562	belongs_to_pathway	Entity5772	C1005628	C1005629	synthetic
Entity563	belongs_to_pathway	Entity9012	C1005630	C1005631	synthetic
Entity563	derived_from	Entity6090	C1005632	C1005633	synthetic
Entity563	belongs_to_pathway	Entity7054	C1005634	C1005635	synthetic
Entity563	activates	Entity9968	C1005636	C1005637	synthetic
Entity563	precedes	Entity9226	C1005638	C1005639	synthetic
Entity564	located_in	Entity3504	C1005640	C1005641	synthetic
Entity564	binds_to	Entity9015	C1005642	C1005643	synthetic
Entity564	similar_to	Entity5898	C1005644	C1005645	synthetic
Entity564	located_in	Entity7331	C1005646	C1005647	synthetic
Entity564	causes	Entity3	C1005648	C1005649	synthetic
Entity565	part_of	Entity4660	C1005650	C1005651	synthetic
Entity565	correlated_with	Entity267	C1005652	C1005653	synthetic
Entity565	regulates	Entity2213	C1005654	C1005655	synthetic
Entity565	regulates	Entity107	C1005656	C1005657	synthetic
Entity565	inhibits	Entity3635	C1005658	C1005659	synthetic
Entity566	associated_with	Entity5159	C1005660	C1005661	synthetic
Entity566	precedes	Entity4521	C1005662	C1005663	synthetic
Entity566	precedes	Entity8376	C1005664	C1005665	synthetic
Entity566	follows	Entity9349	C1005666	C1005667	synthetic
Entity566	interacts_with	Entity2534	C1005668	C1005669	synthetic
Entity567	similar_to	Entity618	C1005670	C1005671	synthetic
Entity567	expressed_in	Entity5827	C1005672	C1005673	synthetic
Entity567	binds_to	Entity2267	C1005674	C1005675	synthetic
Entity567	follows	Entity6014	C1005676	C1005677	synthetic
Entity567	activates	Entity4093	C1005678	C1005679	synthetic
Entity568	regulates	Entity4198	C1005680	C1005681	synthetic
Entity568	follows	Entity1505	C1005682	C1005683	synthetic
Entity568	follows	Entity6550	C1005684	C1005685	synthetic
Entity568	treats	Entity3562	C1005686	C1005687	synthetic
Entity568	co_occurs_with	Entity5319	C1005688	C1005689	synthetic
Entity569	co_occurs_with	Entity2832	C1005690	C1005691	synthetic
Entity569	interacts_with	Entity9440	C1005692	C1005693	synthetic
Entity569	regulates	Entity9752	C1005694	C1005695	synthetic
Entity569	follows	Entity612	C1005696	C1005697	synthetic
Entity569	treats	Entity6251	C1005698	C1005699	synthetic
Entity570	belongs_to_pathway	Entity916	C1005700	C1005701	synthetic
Entity570	derived_from	Entity5700	C1005702	C1005703	synthetic
Entity570	interacts_with	Entity6824	C1005704	C1005705	synthetic
Entity570	part_of	Entity3714	C1005706	C1005707	synthetic
Entity570	located_in	Entity187	C1005708	C1005709	synthetic
Entity571	regulates	Entity886	C1005710	C1005711	synthetic
Entity571	causes	Entity8591	C1005712	C1005713	synthetic
Entity571	precedes	Entity5231	C1005714	C1005715	synthetic
Entity571	expressed_in	Entity9255	C1005716	C1005717	synthetic
Entity571	correlated_with	Entity5354	C1005718	C1005719	synthetic
Entity572	expressed_in	Entity3617	C1005720	C1005721	synthetic
Entity572	located_in	Entity827	C1005722	C1005723	synthetic
Entity572	part_of	Entity7300	C1005724	C1005725	synthetic
Entity572	correlated_with	Entity9424	C1005726	C1005727	synthetic
Entity572	activates	Entity1475	C1005728	C1005729	synthetic
Entity573	regulates	Entity7076	C1005730	C1005731	synthetic
Entity573	expressed_in	Entity6460	C1005732	C1005733	synthetic
Entity573	belongs_to_pathway	Entity2165	C1005734	C1005735	synthetic
Entity573	co_occurs_with	Entity1352	C1005736	C1005737	synthetic
Entity573	causes	Entity9362	C1005738	C1005739	synthetic
Entity574	located_in	Entity8980	C1005740	C1005741	synthetic
Entity574	treats	Entity4301	C1005742	C1005743	synthetic
Entity574	correlated_with	Entity6529	C1005744	C1005745	synthetic
Entity574	expressed_in	Entity7118	C1005746	C1005747	synthetic
Entity574	co_occurs_with	Entity2209	C1005748	C1005749	synthetic
Entity575	inhibits	Entity9163	C1005750	C1005751	synthetic
Entity575	located_in	Entity7993	C1005752	C1005753	synthetic
Entity575	inhibits	Entity9360	C1005754	C1005755	synthetic
Entity575	part_of	Entity9194	C1005756	C1005757	synthetic
Entity575	activates	Entity8589	C1005758	C1005759	synthetic
Entity576	treats	Entity3970	C1005760	C1005761	synthetic
Entity576	derived_from	Entity4362	C1005762	C1005763	synthetic
Entity576	follows	Entity5298	C1005764	C1005765	synthetic
Entity576	interacts_with	Entity1467	C1005766	C1005767	synthetic
Entity576	derived_from	Entity6776	C1005768	C1005769	synthetic
Entity577	has_phenotype	Entity5984	C1005770	C1005771	synthetic
Entity577	belongs_to_pathway	Entity3120	C1005772	C1005773	synthetic
Entity577	part_of	Entity5644	C1005774	C1005775	synthetic
Entity577	regulates	Entity396	C1005776	C1005777	synthetic
Entity577	has_phenotype	Entity2773	C1005778	C1005779	synthetic
Entity578	part_of	Entity7245	C1005780	C1005781	synthetic
Entity578	similar_to	Entity2389	C1005782	C1005783	synthetic
Entity578	activates	Entity735	C1005784	C1005785	synthetic
Entity578	has_phenotype	Entity3271	C1005786	C1005787	synthetic
Entity578	treats	Entity2555	C1005788	C1005789	synthetic
Entity579	causes	Entity1841	C1005790	C1005791	synthetic
Entity579	part_of	Entity3982	C1005792	C1005793	synthetic
Entity579	regulates	Entity2419	C1005794	C1005795	synthetic
Entity579	belongs_to_pathway	Entity225	C1005796	C1005797	synthetic
Entity579	regulates	Entity1823	C1005798	C1005799	synthetic
Entity580	co_occurs_with	Entity7373	C1005800	C1005801	synthetic
Entity580	belongs_to_pathway	Entity372	C1005802	C1005803	synthetic
Entity580	precedes	Entity3424	C1005804	C1005805	synthetic
Entity580	inhibits	Entity3471	C1005806	C1005807	synthetic
Entity580	correlated_with	Entity8952	C1005808	C1005809	synthetic
Entity581	precedes	Entity4237	C1005810	C1005811	synthetic
Entity581	part_of	Entity7913	C1005812	C1005813	synthetic
Entity581	associated_with	Entity2315	C1005814	C1005815	synthetic
Entity581	follows	Entity6170	C1005816	C1005817	synthetic
Entity581	causes	Entity8631	C1005818	C1005819	synthetic
Entity582	mutated_in	Entity4185	C1005820	C1005821	synthetic
Entity582	regulates	Entity984	C1005822	C1005823	synthetic
Entity582	part_of	Entity3288	C1005824	C1005825	synthetic
Entity582	causes	Entity4444	C1005826	C1005827	synthetic
Entity582	associated_with	Entity7617	C1005828	C1005829	synthetic
Entity583	located_in	Entity1091	C1005830	C1005831	synthetic
Entity583	has_phenotype	Entity4445	C1005832	C1005833	synthetic
Entity583	associated_with	Entity1767	C1005834	C1005835	synthetic
Entity583	located_in	Entity4792	C1005836	C1005837	synthetic
Entity583	located_in	Entity3787	C1005838	C1005839	synthetic
Entity584	interacts_with	Entity8331	C1005840	C1005841	synthetic
Entity584	co_occurs_with	Entity5168	C1005842	C1005843	synthetic
Entity584	precedes	Entity9782	C1005844	C1005845	synthetic
Entity584	mutated_in	Entity1442	C1005846	C1005847	synthetic
Entity584	correlated_with	Entity3258	C1005848	C1005849	synthetic
Entity585	precedes	Entity7503	C1005850	C1005851	synthetic
Entity585	causes	Entity352	C1005852	C1005853	synthetic
Entity585	correlated_with	Entity4053	C1005854	C1005855	synthetic
Entity585	belongs_to_pathway	Entity4995	C1005856	C1005857	synthetic
Entity585	located_in	Entity8027	C1005858	C1005859	synthetic
Entity586	associated_with	Entity2572	C1005860	C1005861	synthetic
Entity586	has_phenotype	Entity5681	C1005862	C1005863	synthetic
Entity586	regulates	Entity5822	C1005864	C1005865	synthetic
Entity586	correlated_with	Entity3869	C1005866	C1005867	synthetic
Entity586	causes	Entity4519	C1005868	C1005869	synthetic
Entity587	located_in	Entity4221	C1005870	C1005871	synthetic
Entity587	precedes	Entity482	C1005872	C1005873	synthetic
Entity587	activates	Entity4590	C1005874	C1005875	synthetic
Entity587	belongs_to_pathway	Entity2485	C1005876	C1005877	synthetic
Entity587	expressed_in	Entity6436	C1005878	C1005879	synthetic
Entity588	located_in	Entity1438	C1005880	C1005881	synthetic
Entity588	part_of	Entity8531	C1005882	C1005883	synthetic
Entity588	derived_from	Entity3726	C1005884	C1005885	synthetic
Entity588	follows	Entity3938	C1005886	C1005887	synthetic
Entity588	derived_from	Entity2502	C1005888	C1005889	synthetic
Entity589	part_of	Entity5118	C1005890	C1005891	synthetic
Entity589	similar_to	Entity5395	C1005892	C1005893	synthetic
Entity589	expressed_in	Entity8883	C1005894	C1005895	synthetic
Entity589	expressed_in	Entity3387	C1005896	C1005897	synthetic
Entity589	precedes	Entity9519	C1005898	C1005899	synthetic
Entity590	expressed_in	Entity3314	C1005900	C1005901	synthetic
Entity590	correlated_with	Entity5062	C1005902	C1005903	synthetic
Entity590	derived_from	Entity2215	C1005904	C1005905	synthetic
Entity590	follows	Entity2378	C1005906	C1005907	synthetic
Entity590	belongs_to_pathway	Entity2589	C1005908	C1005909	synthetic
Entity591	precedes	Entity1111	C1005910	C1005911	synthetic
Entity591	interacts_with	Entity8732	C1005912	C1005913	synthetic
Entity591	belongs_to_pathway	Entity3016	C1005914	C1005915	synthetic
Entity591	associated_with	Entity2384	C1005916	C1005917	synthetic
Entity591	derived_from	Entity5221	C1005918	C1005919	synthetic
Entity592	regulates	Entity6737	C1005920	C1005921	synthetic
Entity592	binds_to	Entity7258	C1005922	C1005923	synthetic
Entity592	inhibits	Entity2489	C1005924	C1005925	synthetic
Entity592	expressed_in	Entity1749	C1005926	C1005927	synthetic
Entity592	associated_with	Entity3026	C1005928	C1005929	synthetic
Entity593	part_of	Entity4372	C1005930	C1005931	synthetic
Entity593	part_of	Entity9290	C1005932	C1005933	synthetic
Entity593	part_of	Entity3783	C1005934	C1005935	synthetic
Entity593	activates	Entity3804	C1005936	C1005937	synthetic
Entity593	has_phenotype	Entity427	C1005938	C1005939	synthetic
Entity594	co_occurs_with	Entity1302	C1005940	C1005941	synthetic
Entity594	correlated_with	Entity2196	C1005942	C1005943	synthetic
Entity594	co_occurs_with	Entity9907	C1005944	C1005945	synthetic
Entity594	mutated_in	Entity6126	C1005946	C1005947	synthetic
Entity594	co_occurs_with	Entity6348	C1005948	C1005949	synthetic
Entity595	expressed_in	Entity7763	C1005950	C1005951	synthetic
Entity595	inhibits	Entity2683	C1005952	C1005953	synthetic
Entity595	causes	Entity3707	C1005954	C1005955	synthetic
Entity595	associated_with	Entity6694	C1005956	C1005957	synthetic
Entity595	derived_from	Entity4421	C1005958	C1005959	synthetic
Entity596	inhibits	Entity3646	C1005960	C1005961	synthetic
Entity596	treats	Entity3351	C1005962	C1005963	synthetic
Entity596	similar_to	Entity2901	C1005964	C1005965	synthetic
Entity596	belongs_to_pathway	Entity8027	C1005966	C1005967	synthetic
Entity596	activates	Entity7496	C1005968	C1005969	synthetic
Entity597	located_in	Entity7005	C1005970	C1005971	synthetic
Entity597	part_of	Entity685	C1005972	C1005973	synthetic
Entity597	belongs_to_pathway	Entity6232	C1005974	C1005975	synthetic
Entity597	part_of	Entity6457	C1005976	C1005977	synthetic
Entity597	part_of	Entity9370	C1005978	C1005979	synthetic
Entity598	correlated_with	Entity8784	C1005980	C1005981	synthetic
Entity598	correlated_with	Entity630	C1005982	C1005983	synthetic
Entity598	similar_to	Entity1791	C1005984	C1005985	synthetic
Entity598	causes	Entity7485	C1005986	C1005987	synthetic
Entity598	correlated_with	Entity4025	C1005988	C1005989	synthetic
Entity599	located_in	Entity8812	C1005990	C1005991	synthetic
Entity599	precedes	Entity643	C1005992	C1005993	synthetic
Entity599	correlated_with	Entity6347	C1005994	C1005995	synthetic
Entity599	inhibits	Entity807	C1005996	C1005997	synthetic
Entity599	similar_to	Entity4770	C1005998	C1005999	synthetic
Entity600	regulates	Entity6521	C1006000	C1006001	synthetic
Entity600	similar_to	Entity4684	C1006002	C1006003	synthetic
Entity600	derived_from	Entity2727	C1006004	C1006005	synthetic
Entity600	part_of	Entity4823	C1006006	C1006007	synthetic
Entity600	correlated_with	Entity893	C1006008	C1006009	synthetic
Entity601	similar_to	Entity2330	C1006010	C1006011	synthetic
Entity601	treats	Entity7400	C1006012	C1006013	synthetic
Entity601	interacts_with	Entity8202	C1006014	C1006015	synthetic
Entity601	follows	Entity2945	C1006016	C1006017	synthetic
Entity601	expressed_in	Entity8952	C1006018	C1006019	synthetic
Entity602	derived_from	Entity6440	C1006020	C1006021	synthetic
Entity602	similar_to	Entity5299	C1006022	C1006023	synthetic
Entity602	mutated_in	Entity408	C1006024	C1006025	synthetic
Entity602	follows	Entity7433	C1006026	C1006027	synthetic
Entity602	similar_to	Entity3308	C1006028	C1006029	synthetic
Entity603	binds_to	Entity1477	C1006030	C1006031	synthetic
Entity603	mutated_in	Entity5309	C1006032	C1006033	synthetic
Entity603	treats	Entity2024	C1006034	C1006035	synthetic
Entity603	similar_to	Entity1870	C1006036	C1006037	synthetic
Entity603	treats	Entity5946	C1006038	C1006039	synthetic
Entity604	located_in	Entity8582	C1006040	C1006041	synthetic
Entity604	part_of	Entity8383	C1006042	C1006043	synthetic
Entity604	located_in	Entity2619	C1006044	C1006045	synthetic
Entity604	located_in	Entity9016	C1006046	C1006047	synthetic
Entity604	mutated_in	Entity719	C1006048	C1006049	synthetic
Entity605	follows	Entity5491	C1006050	C1006051	synthetic
Entity605	mutated_in	Entity2459	C1006052	C1006053	synthetic
Entity605	mutated_in	Entity2369	C1006054	C1006055	synthetic
Entity605	derived_from	Entity840	C1006056	C1006057	synthetic
Entity605	regulates	Entity5047	C1006058	C1006059	synthetic
Entity606	regulates	Entity7311	C1006060	C1006061	synthetic
Entity606	interacts_with	Entity2960	C1006062	C1006063	synthetic
Entity606	inhibits	Entity2155	C1006064	C1006065	synthetic
Entity606	part_of	Entity57	C1006066	C1006067	synthetic
Entity606	associated_with	Entity4146	C1006068	C1006069	synthetic
Entity607	co_occurs_with	Entity7514	C1006070	C1006071	synthetic
Entity607	precedes	Entity8169	C1006072	C1006073	synthetic
Entity607	part_of	Entity94	C1006074	C1006075	synthetic
Entity607	activates	Entity8084	C1006076	C1006077	synthetic
Entity607	follows	Entity3553	C1006078	C1006079	synthetic
Entity608	similar_to	Entity7794	C1006080	C1006081	synthetic
Entity608	similar_to	Entity6719	C1006082	C1006083	synthetic
Entity608	part_of	Entity1300	C1006084	C1006085	synthetic
Entity608	associated_with	Entity9832	C1006086	C1006087	synthetic
Entity608	precedes	Entity4009	C1006088	C1006089	synthetic
Entity609	part_of	Entity4556	C1006090	C1006091	synthetic
Entity609	inhibits	Entity9134	C1006092	C1006093	synthetic
Entity609	mutated_in	Entity801	C1006094	C1006095	synthetic
Entity609	causes	Entity2429	C1006096	C1006097	synthetic
Entity609	causes	Entity5718	C1006098	C1006099	synthetic
Entity610	causes	Entity2381	C1006100	C1006101	synthetic
Entity610	part_of	Entity9471	C1006102	C1006103	synthetic
Entity610	belongs_to_pathway	Entity4889	C1006104	C1006105	synthetic
Entity610	causes	Entity1436	C1006106	C1006107	synthetic
Entity610	derived_from	Entity1784	C1006108	C1006109	synthetic
Entity611	mutated_in	Entity2920	C1006110	C1006111	synthetic
Entity611	part_of	Entity4659	C1006112	C1006113	synthetic
Entity611	follows	Entity9747	C1006114	C1006115	synthetic
Entity611	mutated_in	Entity9210	C1006116	C1006117	synthetic
Entity611	follows	Entity7460	C1006118	C1006119	synthetic
Entity612	causes	Entity5901	C1006120	C1006121	synthetic
Entity612	regulates	Entity1525	C1006122	C1006123	synthetic
Entity612	has_phenotype	Entity5289	C1006124	C1006125	synthetic
Entity612	treats	Entity6208	C1006126	C1006127	synthetic
Entity612	precedes	Entity7001	C1006128	C1006129	synthetic
Entity613	regulates	Entity1063	C1006130	C1006131	synthetic
Entity613	expressed_in	Entity7713	C1006132	C1006133	synthetic
Entity613	binds_to	Entity1999	C1006134	C1006135	synthetic
Entity613	correlated_with	Entity5393	C1006136	C1006137	synthetic
Entity613	correlated_with	Entity6779	C1006138	C1006139	synthetic
Entity614	inhibits	Entity3438	C1006140	C1006141	synthetic
Entity614	interacts_with	Entity953	C1006142	C1006143	synthetic
Entity614	correlated_with	Entity9361	C1006144	C1006145	synthetic
Entity614	co_occurs_with	Entity1436	C1006146	C1006147	synthetic
Entity614	regulates	Entity9908	C1006148	C1006149	synthetic
Entity615	part_of	Entity6996	C1006150	C1006151	synthetic
Entity615	binds_to	Entity5185	C1006152	C1006153	synthetic
Entity615	follows	Entity8608	C1006154	C1006155	synthetic
Entity615	expressed_in	Entity5797	C1006156	C1006157	synthetic
Entity615	co_occurs_with	Entity9218	C1006158	C1006159	synthetic
Entity616	co_occurs_with	Entity8514	C1006160	C1006161	synthetic
Entity616	mutated_in	Entity8069	C1006162	C1006163	synthetic
Entity616	activates	Entity9984	C1006164	C1006165	synthetic
Entity616	inhibits	Entity4759	C1006166	C1006167	synthetic
Entity616	interacts_with	Entity25	C1006168	C1006169	synthetic
Entity617	similar_to	Entity392	C1006170	C1006171	synthetic
Entity617	inhibits	Entity1932	C1006172	C1006173	synthetic
Entity617	derived_from	Entity6793	C1006174	C1006175	synthetic
Entity617	belongs_to_pathway	Entity745	C1006176	C1006177	synthetic
Entity617	precedes	Entity5728	C1006178	C1006179	synthetic
Entity618	associated_with	Entity3478	C1006180	C1006181	synthetic
Entity618	regulates	Entity3296	C1006182	C1006183	synthetic
Entity618	treats	Entity4168	C1006184	C1006185	synthetic
Entity618	regulates	Entity5042	C1006186	C1006187	synthetic
Entity618	precedes	Entity8301	C1006188	C1006189	synthetic
Entity619	associated_with	Entity5307	C1006190	C1006191	synthetic
Entity619	belongs_to_pathway	Entity1865	C1006192	C1006193	synthetic
Entity619	located_in	Entity5592	C1006194	C1006195	synthetic
Entity619	part_of	Entity9321	C1006196	C1006197	synthetic
Entity619	mutated_in	Entity477	C1006198	C1006199	synthetic
Entity620	belongs_to_pathway	Entity3178	C1006200	C1006201	synthetic
Entity620	co_occurs_with	Entity5536	C1006202	C1006203	synthetic
Entity620	causes	Entity7774	C1006204	C1006205	synthetic
Entity620	co_occurs_with	Entity2224	C1006206	C1006207	synthetic
Entity620	similar_to	Entity2545	C1006208	C1006209	synthetic
Entity621	belongs_to_pathway	Entity8797	C1006210	C1006211	synthetic
Entity621	derived_from	Entity7577	C1006212	C1006213	synthetic
Entity621	correlated_with	Entity917	C1006214	C1006215	synthetic
Entity621	follows	Entity4904	C1006216	C1006217	synthetic
Entity621	precedes	Entity5169	C1006218	C1006219	synthetic
Entity622	associated_with	Entity8779	C1006220	C1006221	synthetic
Entity622	follows	Entity3412	C1006222	C1006223	synthetic
Entity622	has_phenotype	Entity5434	C1006224	C1006225	synthetic
Entity622	expressed_in	Entity1084	C1006226	C1006227	synthetic
Entity622	associated_with	Entity4595	C1006228	C1006229	synthetic
Entity623	located_in	Entity5556	C1006230	C1006231	synthetic
Entity623	mutated_in	Entity8753	C1006232	C1006233	synthetic
Entity623	part_of	Entity9354	C1006234	C1006235	synthetic
Entity623	mutated_in	Entity6382	C1006236	C1006237	synthetic
Entity623	interacts_with	Entity9751	C1006238	C1006239	synthetic
Entity624	belongs_to_pathway	Entity5050	C1006240	C1006241	synthetic
Entity624	binds_to	Entity518	C1006242	C1006243	synthetic
Entity624	treats	Entity6780	C1006244	C1006245	synthetic
Entity624	activates	Entity8143	C1006246	C1006247	synthetic
Entity624	similar_to	Entity6088	C1006248	C1006249	synthetic
Entity625	inhibits	Entity4958	C1006250	C1006251	synthetic
Entity625	regulates	Entity8603	C1006252	C1006253	synthetic
Entity625	interacts_with	Entity2867	C1006254	C1006255	synthetic
Entity625	causes	Entity6131	C1006256	C1006257	synthetic
Entity625	treats	Entity3311	C1006258	C1006259	synthetic
Entity626	correlated_with	Entity7270	C1006260	C1006261	synthetic
Entity626	co_occurs_with	Entity408	C1006262	C1006263	synthetic
